sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
16783,Le Seigneur des Anneaux,,,286,286,291,"«D'abord ce serait un peu long: mon nom s'allonge sans cesse, et j'ai vécu très, très longtemps, de sorte que mon nom est comme une histoire.","«DEabord ce être un peu long: mon nom seallonger sans cesse, et jeavoir vivre très, très longtemps, de sorte que mon nom être comme un histoire."
16784,Le Seigneur des Anneaux,,,286,286,291,"Les vrais noms vous racontent l'histoire des choses auxquelles ils appartiennent, dans ma langue, en vieil entien, pourrait-on dire.","Le vrai nom vous raconter lehistoire de chose auxquelles il appartenir, dans mon langue, en vieux entien, pouvoiron dire."
16785,Le Seigneur des Anneaux,,,286,286,291,"C'est une très belle langue mais il faut très longtemps pour dire quoi que ce soit, quand on l'emploie, parce que nous ne nous en servons que pour parler de choses qui valent une longue narration et une longue écoute.","CEêtre un très bel langue mais il falloir très longtemps pour dire quoi que ce être, quand on leemployer, parce que nous ne nous en servir que pour parler de chose qui valoir un long narration et un long écoute."
16786,Le Seigneur des Anneaux,,,286,286,291,"«Mais maintenant (et les yeux devinrent très brillants et ""présents"", semblant se faire plus petits et presque aigus)","«Mais maintenant (et le oeil devenir très brillant et ""présent"", sembler se faire plus petit et presque aigu)"
16787,Le Seigneur des Anneaux,,,286,286,291,qu'est ce qui ce passe?,queêtre ce qui ce passer?
16788,Le Seigneur des Anneaux,,,286,286,291,Que faites-vous dans tout cela?,Que fairevous dans tout celer?
16789,Le Seigneur des Anneaux,,,286,286,291,"Je vois et j'entends (et je sens à (odeur et au toucher) beaucoup dans ce..., ce... ce a talla-Talla-rumba-kamandalind-orburumë.","Je voir et jeentendre (et je sentir à (odeur et au toucher) beaucoup dans ce..., ce... ce avoir talla-Talla-rumba-kamandalind-orburumë."
16790,Le Seigneur des Anneaux,,,286,286,291,"Excusez-moi, c'est une partie du nom que je donne à cela, je ne sais quel est le mot dans les langues extérieures: vous savez, ce sur quoi nous sommes, où je me tiens et d'où je contemple les beaux matins, où je pense au Soleil, et à (herbe au-delà de la forêt, aux chevaux, aux nuages et au déroulement du monde.","Excusezmoi, ceêtre un partie de nom que je donne à celer, je ne savoir quel être le mot dans le langue extérieur: vous savoir, ce sur quoi nous être, où je me tenir et deoù je contempler le beal matin, où je penser au Soleil, et à (herbe au-delà de le forêt, à cheval, à nuage et au déroulement de monde."
16791,Le Seigneur des Anneaux,,,286,286,291,Que se passe-til?,Que se passe-til?
16792,Le Seigneur des Anneaux,,,286,286,291,Qu'est ce que Gandalf a en tête?,Queêtre ce que Gandalf avoir en tête?
16793,Le Seigneur des Anneaux,,,286,286,291,"Et ces... burarum (il émit un son profond et gargouillant qui ressemblait à une dissonance de grand orgue), ces Orques, et le jeune Saroumane en Isengard?","Et ce... burarum (il émettre un son profond et gargouillant qui ressembler à un dissonance de grand orgue), ce Orque, et le jeune Saroumane en Isengard?"
16794,Le Seigneur des Anneaux,,,286,286,291,J'aime avoir des nouvelles.,JEaimer avoir un nouveau.
16795,Le Seigneur des Anneaux,,,286,286,291,"Mais pas trop vite, à présent» «Il se passe beaucoup de choses, dit Merry, et même si nous essayions d'aller vite, ce serait long à raconter.","Mais pas trop vite, à présent» «Il se passer beaucoup de chose, dire Merry, et même si nous essayer dealler vite, ce être long à raconter."
16796,Le Seigneur des Anneaux,,,286,286,291,Mais vous nous avez dit de ne pas être irréfléchis.,Mais vous nous avoir dire de ne pas être irréfléchi.
16797,Le Seigneur des Anneaux,,,286,286,291,Devrions-nous vous dire quoi que ce soit dès maintenant?,Devoirnous vous dire quoi que ce être dès maintenant?
16798,Le Seigneur des Anneaux,,,286,286,291,Serait-il impertinent de vous demander ce que vous allez faire de nous et de quel côté vous êtes?,Êtreil impertinent de vous demander ce que vous aller faire de nous et de quel côté vous être?
16799,Le Seigneur des Anneaux,,,286,286,291,Et avez-vous connu Gandalf?,Et avoir-vou connaître Gandalf?
16800,Le Seigneur des Anneaux,,,286,286,291,"» «Oui, je le connais: le seul magicien qui se soucie des arbres, dit Sylvebarbe.","» «Oui, je le connai: le seul magicien qui se soucier de arbre, dire Sylvebarbe."
16801,Le Seigneur des Anneaux,,,286,286,291,Vous le connaissez?,Vous le connaître?
16802,Le Seigneur des Anneaux,,,286,286,291,"» «Oui, dit tristement Pippin, nous le connaissons.","» «Oui, dire tristement Pippin, nous le connaître."
